rf_code,codepoints,name,group,subgroup,order,status,reason
135,2764 FE0F 200D 1FA79,mending heart,Smileys & Emotion,heart,142,included,zwj_sequence
136,2764 FE0F,red heart,Smileys & Emotion,heart,143,included,
137,1FA77,pink heart,Smileys & Emotion,heart,144,included,
138,1F9E1,orange heart,Smileys & Emotion,heart,145,included,
139,1F49B,yellow heart,Smileys & Emotion,heart,146,included,
140,1F49A,green heart,Smileys & Emotion,heart,147,included,
141,1F499,blue heart,Smileys & Emotion,heart,148,included,
142,1FA75,light blue heart,Smileys & Emotion,heart,149,included,
143,1F49C,purple heart,Smileys & Emotion,heart,150,included,
144,1F90E,brown heart,Smileys & Emotion,heart,151,included,
145,1F5A4,black heart,Smileys & Emotion,heart,152,included,
146,1FA76,grey heart,Smileys & Emotion,heart,153,included,
147,1F90D,white heart,Smileys & Emotion,heart,154,included,
148,1F48B,kiss mark,Smileys & Emotion,emotion,155,included,
149,1F4AF,hundred points,Smileys & Emotion,emotion,156,included,
150,1F4A2,anger symbol,Smileys & Emotion,emotion,157,included,
151,1F4A5,collision,Smileys & Emotion,emotion,158,included,
152,1F4AB,dizzy,Smileys & Emotion,emotion,159,included,
153,1F4A6,sweat droplets,Smileys & Emotion,emotion,160,included,
154,1F4A8,dashing away,Smileys & Emotion,emotion,161,included,
155,1F573 FE0F,hole,Smileys & Emotion,emotion,162,included,
156,1F4AC,speech balloon,Smileys & Emotion,emotion,163,included,
,1F441 FE0F 200D 1F5E8 FE0F,eye in speech bubble,Smileys & Emotion,emotion,164,excluded,zwj_sequence
157,1F5E8 FE0F,left speech bubble,Smileys & Emotion,emotion,165,included,
158,1F5EF FE0F,right anger bubble,Smileys & Emotion,emotion,166,included,
159,1F4AD,thought balloon,Smileys & Emotion,emotion,167,included,
160,1F4A4,ZZZ,Smileys & Emotion,emotion,168,included,
161,1F44B,waving hand,People & Body,hand-fingers-open,169,included,
,1F44B 1F3FB,waving hand: light skin tone,People & Body,hand-fingers-open,170,excluded,skin_tone_variant
,1F44B 1F3FC,waving hand: medium-light skin tone,People & Body,hand-fingers-open,171,excluded,skin_tone_variant
,1F44B 1F3FD,waving hand: medium skin tone,People & Body,hand-fingers-open,172,excluded,skin_tone_variant
,1F44B 1F3FE,waving hand: medium-dark skin tone,People & Body,hand-fingers-open,173,excluded,skin_tone_variant
,1F44B 1F3FF,waving hand: dark skin tone,People & Body,hand-fingers-open,174,excluded,skin_tone_variant
162,1F91A,raised back of hand,People & Body,hand-fingers-open,175,included,
,1F91A 1F3FB,raised back of hand: light skin tone,People & Body,hand-fingers-open,176,excluded,skin_tone_variant
,1F91A 1F3FC,raised back of hand: medium-light skin tone,People & Body,hand-fingers-open,177,excluded,skin_tone_variant
,1F91A 1F3FD,raised back of hand: medium skin tone,People & Body,hand-fingers-open,178,excluded,skin_tone_variant
,1F91A 1F3FE,raised back of hand: medium-dark skin tone,People & Body,hand-fingers-open,179,excluded,skin_tone_variant
,1F91A 1F3FF,raised back of hand: dark skin tone,People & Body,hand-fingers-open,180,excluded,skin_tone_variant
163,1F590 FE0F,hand with fingers splayed,People & Body,hand-fingers-open,181,included,
,1F590 1F3FB,hand with fingers splayed: light skin tone,People & Body,hand-fingers-open,182,excluded,skin_tone_variant
,1F590 1F3FC,hand with fingers splayed: medium-light skin tone,People & Body,hand-fingers-open,183,excluded,skin_tone_variant
,1F590 1F3FD,hand with fingers splayed: medium skin tone,People & Body,hand-fingers-open,184,excluded,skin_tone_variant
,1F590 1F3FE,hand with fingers splayed: medium-dark skin tone,People & Body,hand-fingers-open,185,excluded,skin_tone_variant
,1F590 1F3FF,hand with fingers splayed: dark skin tone,People & Body,hand-fingers-open,186,excluded,skin_tone_variant
164,270B,raised hand,People & Body,hand-fingers-open,187,included,
,270B 1F3FB,raised hand: light skin tone,People & Body,hand-fingers-open,188,excluded,skin_tone_variant
,270B 1F3FC,raised hand: medium-light skin tone,People & Body,hand-fingers-open,189,excluded,skin_tone_variant
,270B 1F3FD,raised hand: medium skin tone,People & Body,hand-fingers-open,190,excluded,skin_tone_variant
,270B 1F3FE,raised hand: medium-dark skin tone,People & Body,hand-fingers-open,191,excluded,skin_tone_variant
,270B 1F3FF,raised hand: dark skin tone,People & Body,hand-fingers-open,192,excluded,skin_tone_variant
165,1F596,vulcan salute,People & Body,hand-fingers-open,193,included,
,1F596 1F3FB,vulcan salute: light skin tone,People & Body,hand-fingers-open,194,excluded,skin_tone_variant
,1F596 1F3FC,vulcan salute: medium-light skin tone,People & Body,hand-fingers-open,195,excluded,skin_tone_variant
,1F596 1F3FD,vulcan salute: medium skin tone,People & Body,hand-fingers-open,196,excluded,skin_tone_variant
,1F596 1F3FE,vulcan salute: medium-dark skin tone,People & Body,hand-fingers-open,197,excluded,skin_tone_variant
,1F596 1F3FF,vulcan salute: dark skin tone,People & Body,hand-fingers-open,198,excluded,skin_tone_variant
166,1FAF1,rightwards hand,People & Body,hand-fingers-open,199,included,
,1FAF1 1F3FB,rightwards hand: light skin tone,People & Body,hand-fingers-open,200,excluded,skin_tone_variant
,1FAF1 1F3FC,rightwards hand: medium-light skin tone,People & Body,hand-fingers-open,201,excluded,skin_tone_variant
,1FAF1 1F3FD,rightwards hand: medium skin tone,People & Body,hand-fingers-open,202,excluded,skin_tone_variant
