rf_code,codepoints,name,group,subgroup,order,joypixels_file,status,reason
,1F9CE 1F3FD 200D 2640 FE0F,woman kneeling: medium skin tone,People & Body,person-activity,1597,1f9ce-1f3fd-2640.png,excluded,skin_tone_variant
,1F9CE 1F3FE 200D 2640 FE0F,woman kneeling: medium-dark skin tone,People & Body,person-activity,1598,1f9ce-1f3fe-2640.png,excluded,skin_tone_variant
,1F9CE 1F3FF 200D 2640 FE0F,woman kneeling: dark skin tone,People & Body,person-activity,1599,1f9ce-1f3ff-2640.png,excluded,skin_tone_variant
,1F9CE 200D 27A1 FE0F,person kneeling facing right,People & Body,person-activity,1600,1f9ce-27a1.png,excluded,zwj_sequence
,1F9CE 1F3FB 200D 27A1 FE0F,person kneeling facing right: light skin tone,People & Body,person-activity,1601,1f9ce-1f3fb-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FC 200D 27A1 FE0F,person kneeling facing right: medium-light skin tone,People & Body,person-activity,1602,1f9ce-1f3fc-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FD 200D 27A1 FE0F,person kneeling facing right: medium skin tone,People & Body,person-activity,1603,1f9ce-1f3fd-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FE 200D 27A1 FE0F,person kneeling facing right: medium-dark skin tone,People & Body,person-activity,1604,1f9ce-1f3fe-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FF 200D 27A1 FE0F,person kneeling facing right: dark skin tone,People & Body,person-activity,1605,1f9ce-1f3ff-27a1.png,excluded,skin_tone_variant
,1F9CE 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right,People & Body,person-activity,1606,1f9ce-2640-27a1.png,excluded,zwj_sequence
,1F9CE 1F3FB 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right: light skin tone,People & Body,person-activity,1607,1f9ce-1f3fb-2640-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FC 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right: medium-light skin tone,People & Body,person-activity,1608,1f9ce-1f3fc-2640-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FD 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right: medium skin tone,People & Body,person-activity,1609,1f9ce-1f3fd-2640-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FE 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right: medium-dark skin tone,People & Body,person-activity,1610,1f9ce-1f3fe-2640-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FF 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right: dark skin tone,People & Body,person-activity,1611,1f9ce-1f3ff-2640-27a1.png,excluded,skin_tone_variant
,1F9CE 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right,People & Body,person-activity,1612,1f9ce-2642-27a1.png,excluded,zwj_sequence
,1F9CE 1F3FB 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right: light skin tone,People & Body,person-activity,1613,1f9ce-1f3fb-2642-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FC 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right: medium-light skin tone,People & Body,person-activity,1614,1f9ce-1f3fc-2642-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FD 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right: medium skin tone,People & Body,person-activity,1615,1f9ce-1f3fd-2642-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FE 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right: medium-dark skin tone,People & Body,person-activity,1616,1f9ce-1f3fe-2642-27a1.png,excluded,skin_tone_variant
,1F9CE 1F3FF 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right: dark skin tone,People & Body,person-activity,1617,1f9ce-1f3ff-2642-27a1.png,excluded,skin_tone_variant
,1F9D1 200D 1F9AF,person with white cane,People & Body,person-activity,1618,1f9d1-1f9af.png,excluded,zwj_sequence
,1F9D1 1F3FB 200D 1F9AF,person with white cane: light skin tone,People & Body,person-activity,1619,1f9d1-1f3fb-1f9af.png,excluded,skin_tone_variant
,1F9D1 1F3FC 200D 1F9AF,person with white cane: medium-light skin tone,People & Body,person-activity,1620,1f9d1-1f3fc-1f9af.png,excluded,skin_tone_variant
,1F9D1 1F3FD 200D 1F9AF,person with white cane: medium skin tone,People & Body,person-activity,1621,1f9d1-1f3fd-1f9af.png,excluded,skin_tone_variant
,1F9D1 1F3FE 200D 1F9AF,person with white cane: medium-dark skin tone,People & Body,person-activity,1622,1f9d1-1f3fe-1f9af.png,excluded,skin_tone_variant
,1F9D1 1F3FF 200D 1F9AF,person with white cane: dark skin tone,People & Body,person-activity,1623,1f9d1-1f3ff-1f9af.png,excluded,skin_tone_variant
,1F9D1 200D 1F9AF 200D 27A1 FE0F,person with white cane facing right,People & Body,person-activity,1624,1f9d1-1f9af-27a1.png,excluded,zwj_sequence
,1F9D1 1F3FB 200D 1F9AF 200D 27A1 FE0F,person with white cane facing right: light skin tone,People & Body,person-activity,1625,1f9d1-1f3fb-1f9af-27a1.png,excluded,skin_tone_variant
,1F9D1 1F3FC 200D 1F9AF 200D 27A1 FE0F,person with white cane facing right: medium-light skin tone,People & Body,person-activity,1626,1f9d1-1f3fc-1f9af-27a1.png,excluded,skin_tone_variant
,1F9D1 1F3FD 200D 1F9AF 200D 27A1 FE0F,person with white cane facing right: medium skin tone,People & Body,person-activity,1627,1f9d1-1f3fd-1f9af-27a1.png,excluded,skin_tone_variant
,1F9D1 1F3FE 200D 1F9AF 200D 27A1 FE0F,person with white cane facing right: medium-dark skin tone,People & Body,person-activity,1628,1f9d1-1f3fe-1f9af-27a1.png,excluded,skin_tone_variant
,1F9D1 1F3FF 200D 1F9AF 200D 27A1 FE0F,person with white cane facing right: dark skin tone,People & Body,person-activity,1629,1f9d1-1f3ff-1f9af-27a1.png,excluded,skin_tone_variant
,1F468 200D 1F9AF,man with white cane,People & Body,person-activity,1630,1f468-1f9af.png,excluded,zwj_sequence
,1F468 1F3FB 200D 1F9AF,man with white cane: light skin tone,People & Body,person-activity,1631,1f468-1f3fb-1f9af.png,excluded,skin_tone_variant
,1F468 1F3FC 200D 1F9AF,man with white cane: medium-light skin tone,People & Body,person-activity,1632,1f468-1f3fc-1f9af.png,excluded,skin_tone_variant
,1F468 1F3FD 200D 1F9AF,man with white cane: medium skin tone,People & Body,person-activity,1633,1f468-1f3fd-1f9af.png,excluded,skin_tone_variant
,1F468 1F3FE 200D 1F9AF,man with white cane: medium-dark skin tone,People & Body,person-activity,1634,1f468-1f3fe-1f9af.png,excluded,skin_tone_variant
,1F468 1F3FF 200D 1F9AF,man with white cane: dark skin tone,People & Body,person-activity,1635,1f468-1f3ff-1f9af.png,excluded,skin_tone_variant
,1F468 200D 1F9AF 200D 27A1 FE0F,man with white cane facing right,People & Body,person-activity,1636,1f468-1f9af-27a1.png,excluded,zwj_sequence
,1F468 1F3FB 200D 1F9AF 200D 27A1 FE0F,man with white cane facing right: light skin tone,People & Body,person-activity,1637,1f468-1f3fb-1f9af-27a1.png,excluded,skin_tone_variant
,1F468 1F3FC 200D 1F9AF 200D 27A1 FE0F,man with white cane facing right: medium-light skin tone,People & Body,person-activity,1638,1f468-1f3fc-1f9af-27a1.png,excluded,skin_tone_variant
,1F468 1F3FD 200D 1F9AF 200D 27A1 FE0F,man with white cane facing right: medium skin tone,People & Body,person-activity,1639,1f468-1f3fd-1f9af-27a1.png,excluded,skin_tone_variant
,1F468 1F3FE 200D 1F9AF 200D 27A1 FE0F,man with white cane facing right: medium-dark skin tone,People & Body,person-activity,1640,1f468-1f3fe-1f9af-27a1.png,excluded,skin_tone_variant
,1F468 1F3FF 200D 1F9AF 200D 27A1 FE0F,man with white cane facing right: dark skin tone,People & Body,person-activity,1641,1f468-1f3ff-1f9af-27a1.png,excluded,skin_tone_variant
